224B	A	
229	B	
244B	A	
244C	A	
322D	A	
325	A	
327	AB	
330	B	
345	A	
372	C	
373	C	
374	C	
375	C	
376	C	
377	C	
378	C	
379B	C	
380	C	
421B	A	
422C	A	
424B	A	
426	AB	
427	AB	
429	B	
447	B	
448	B	
450	B	
452	B	
465	B	
466	B	
473	C	
474	C	
475	C	
476	C	
477	C	
478	C	
479A	C	
479B	C	
521B	A	
522C	A	
525	A	
526	A	
527	A	
532	B	
534	B	
535	B	
538	C	
539	C	
540	C	
543	A	
544	A	
545	A	
549A	A	
549B	A	
550	B	
551	B	
552	B	
564	B	
565	B	
566	B	
569	B	
570	B	
571	B	
572A	B	
573	C	
574	C	
577	C	
578A	C	
578B	C	
624B	A	
625	A	
626	A	
628	B	
629	B	
631B	B	
631C	B	
631D	B	
632	B	
633	B	
636	C	
637	C	
638	C	
639	C	
640	C	
643	A	
644	A	
645A	A	
647	A	
648	A	
649	A	
653	B	
665	B	
667	B	
670	B	
672	B	
674	B	
678	C	
725	A	
727	A	
728	A	
730	B	
731	B	
738C	C	
739	C	
740	C	
741B	A	
743	A	
744	A	
746	A	
747	A	
748B	B	
748C	B	
775	C	
779	C	
825	A	
839	C	
865	B	
872	B	
873	C	
874	C	
875	C	
922D	A	
925	A	
936	B	
938	C	
946	A	
972	B	
973	C	
974	C	
975	C	
977	C	
979	C	
1021A	A	
1022C	A	
1025	A	
1031B	B	
1031C	B	
1033	B	
1034	B	
1038	C	
1043	C	
1044	A	
1045	A	
1046	A	
1052B	B	
1065	B	
1073	C	
1074	C	
1075	C	
1076	C	
1077	C	
1078A	C	
224A	A	23AB
225	A	23AB
228	B	23AB
252	B	23AB
321	A	23AB
322B	A	23AB
322C	A	23AB
324	A	23AB
326	A	23AB
328	B	23AB
329	B	23AB
337	C	34C
340A	C	34C
340B	C	34C
341	A	23AB
344	A	23AB
371	C	34C
379A	C	34C
381	C	34C
421C	A	4AB
422B	A	4AB
424A	A	4AB
428	B	4AB
433	B	4AB
438	C	34C
440	C	34C
446	A	4AB
451	B	4AB
464	B	4AB
467	B	4AB
472	C	34C
521C	A	5AB
522B	A	5AB
524	A	5AB
533	C	5AB
537	C	56C
548	A	5AB
553	B	5AB
572B	C	56C
575	C	56C
624A	A	6AB
627	B	6AB
634	C	56C
635	C	56C
645B	A	6AB
650	A	6AB
652	B	6AB
664	B	6AB
721	A	7
724	A	7
729	A	7
732	B	7
733	B	7
738B	C	7
741A	A	7
776	C	7
778	C	7
780	C	7
821	A	8910A
824	A	8910A
832	B	8910B
833	B	8910B
840	C	8910C
846	A	8910A
866	B	8910B
871	B	8910B
878	C	8910C
921B	A	8910A
921C	A	8910A
922C	A	8910A
924	A	8910A
931	B	8910B
932	B	8910B
933	B	8910B
939	C	8910C
940	C	8910C
941	C	8910C
945	A	8910A
966	B	8910B
971	B	8910B
978	C	8910C
1021C	A	8910A
1021D	A	8910A
1022B	A	8910A
1024	A	8910A
1032	B	8910B
1036	B	8910B
1039	C	8910C
1040	C	8910C
1052A	B	8910B
1064	B	8910B
1066	B	8910B
1072	B	8910B
1078B	C	8910C
